,value,type,band
341,3315,Barren,B4
342,3344,Barren,B4
343,3290,Barren,B4
344,3386,Barren,B4
345,3430,Barren,B4
346,3601,Barren,B4
347,3480,Barren,B4
348,2790,Barren,B4
349,3717,Barren,B4
350,3842,Barren,B4
351,4211,Barren,B4
352,3162,Barren,B4
353,3949,Barren,B4
354,3989,Barren,B4
355,3565,Barren,B4
356,4439,Barren,B4
357,3277,Marked,B4
358,2404,Marked,B4
359,1480,Marked,B4
360,1766,Marked,B4
361,1055,Marked,B4
362,1176,Marked,B4
363,1950,Marked,B4
364,1125,Marked,B4
365,1185,Marked,B4
366,1605,Marked,B4
367,1568,Marked,B4
368,1615,Marked,B4
369,1420,Marked,B4
370,491,Marked,B4
371,1123,Marked,B4
372,1563,Marked,B4
373,1345,Marked,B4
374,1072,Marked,B4
375,1713,Marked,B4
376,1458,Marked,B4
377,2123,Marked,B4
378,1094,Marked,B4
379,1279,Marked,B4
380,983,Marked,B4
381,1286,Marked,B4
382,1458,Unmarked,B4
383,1182,Unmarked,B4
384,1504,Unmarked,B4
385,1574,Unmarked,B4
386,1552,Unmarked,B4
387,1549,Unmarked,B4
388,1655,Unmarked,B4
389,1510,Unmarked,B4
390,1584,Unmarked,B4
391,1464,Unmarked,B4
392,1752,Unmarked,B4
393,1711,Unmarked,B4
394,1255,Unmarked,B4
395,1670,Unmarked,B4
396,1540,Unmarked,B4
397,1468,Unmarked,B4
398,1601,Unmarked,B4
399,1411,Unmarked,B4
400,1549,Unmarked,B4
401,1468,Unmarked,B4
402,1603,Unmarked,B4
403,1629,Unmarked,B4
404,1133,Unmarked,B4
405,1306,Unmarked,B4
406,1556,Unmarked,B4
407,1476,Unmarked,B4
408,1724,Unmarked,B4
409,1687,Unmarked,B4
410,1437,Unmarked,B4
411,1648,Unmarked,B4
412,1376,Unmarked,B4
413,1645,Unmarked,B4
414,1240,Unmarked,B4
415,1537,Unmarked,B4
416,2004,Unmarked,B4
417,932,Unmarked,B4
418,1526,Unmarked,B4
419,1566,Unmarked,B4
420,1659,Unmarked,B4
421,1540,Unmarked,B4
422,1477,Unmarked,B4
423,1828,Unmarked,B4
424,1395,Unmarked,B4
425,1473,Unmarked,B4
426,1734,Unmarked,B4
427,1397,Unmarked,B4
428,1487,Unmarked,B4
429,1674,Unmarked,B4
430,1615,Unmarked,B4
431,1504,Unmarked,B4
432,1579,Unmarked,B4
433,1398,Unmarked,B4
434,1479,Unmarked,B4
435,1465,Unmarked,B4
436,1695,Unmarked,B4
437,827,Vegetation,B4
438,451,Vegetation,B4
439,540,Vegetation,B4
440,481,Vegetation,B4
441,507,Vegetation,B4
442,702,Vegetation,B4
443,524,Vegetation,B4
444,498,Vegetation,B4
445,500,Vegetation,B4
446,560,Vegetation,B4
447,546,Vegetation,B4
448,856,Vegetation,B4
449,446,Vegetation,B4
450,556,Vegetation,B4
451,582,Vegetation,B4
452,488,Vegetation,B4
453,515,Vegetation,B4
454,469,Vegetation,B4
455,640,Vegetation,B4
456,611,Vegetation,B4
457,748,Vegetation,B4
458,573,Vegetation,B4
459,933,Vegetation,B4
460,708,Vegetation,B4
461,505,Vegetation,B4
